gene_id,H_value,p_value.x,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster2_mean,cluster2_sd,cluster2_sem,cluster1_penetrance,cluster2_penetrance,limma_test,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,r_rb,p_value.y,padj,trajectory
TSPAN6,89,0.385160466287465,0.990147405061301,-0.161726294191877,0.353086098799281,0.0911664386951308,-0.0567094803662438,0.0831265704346302,0.0239965739086221,0.466666666666667,0.166666666666667,limma_dupcor_2grp(mod_t),-0.105016813825633,0.105016813825633,0.362739327723807,0.362739327723807,0.173358608547439,0.385160466287465,0.990147405061302,NS
TNMD,138,0.0304908198075665,0.389504020425241,0.167262067017886,0.206698125094879,0.0533692264123175,0,0,0,0.533333333333333,0,limma_dupcor_2grp(mod_t),0.167262067017886,-0.167262067017886,0.206698125094879,0.206698125094879,-0.4153470852664,0.0304908198075665,0.38950402042524,NS
DPM1,118,0.216677320682134,0.803374089025463,0.225132538804851,0.270903008479008,0.0699468560184457,0.0815429546155776,0.207341497172109,0.0598543346032486,0.666666666666667,0.666666666666667,limma_dupcor_2grp(mod_t),0.143589584189273,-0.143589584189273,0.341143571612524,0.341143571612524,-0.24470732383705,0.216677320682134,0.803374089025464,NS
SCYL3,53,0.232017523411386,0.82393287868753,-0.175270633363651,0.30946008110117,0.0799022493613885,-0.00319994308131335,0.207294384235129,0.0598407342698247,0.266666666666667,0.333333333333333,limma_dupcor_2grp(mod_t),-0.172070690282338,0.172070690282338,0.372473493728834,0.372473493728834,0.236970627212527,0.232017523411386,0.823932878687529,NS
FIRRM,80,0.816830587978205,1,0.318651620025924,0.39235868645854,0.10130657722625,0.360054304557215,0.277855295330618,0.0802099147774478,0.733333333333333,0.833333333333333,limma_dupcor_2grp(mod_t),-0.041402684531291,0.041402684531291,0.48077947541751,0.48077947541751,0.0465664968514526,0.816830587978205,1,NS
FGR,118.5,0.388310209178764,0.993713572522961,0.0354134325936941,0.0629230698336971,0.0162466667705437,0.00648416286661388,0.0427696719885643,0.0123465408178748,0.533333333333333,0.333333333333333,limma_dupcor_2grp(mod_t),0.0289292697270802,-0.0289292697270802,0.0760825706670438,0.0760825706670438,-0.172229769629546,0.388310209178764,0.99371357252296,NS
CFH,98,0.787138458350555,1,-0.122226451736242,0.433145179524638,0.111837604452596,-0.177698746515375,0.453653705512518,0.130958544498262,0.4,0.416666666666667,limma_dupcor_2grp(mod_t),0.055472294779133,-0.055472294779133,0.627229169499211,0.627229169499211,-0.0542769851609647,0.787138458350555,1,NS
FUCA2,83,0.779946325426338,1,0.061154940189686,0.177402800247215,0.0458052060618683,0.08180734351386,0.112027644824282,0.0323395954479895,0.6,0.666666666666667,limma_dupcor_2grp(mod_t),-0.020652403324174,0.020652403324174,0.209814076602188,0.209814076602188,0.0561555910849759,0.779946325426338,1,NS
GCLC,136,0.0562276666095791,0.474974548461826,0.0136768548764686,0.377770651565689,0.0975399628133225,-0.351678092351743,0.314825372130188,0.090882256673544,0.4,0.166666666666667,limma_dupcor_2grp(mod_t),0.365354947228212,-0.365354947228212,0.491757745359721,0.491757745359721,-0.370276926268457,0.0562276666095791,0.474974548461825,NS
NFYA,66,0.202407168599169,0.781280386907409,-0.352644051851135,0.433749743154957,0.111993702110726,-0.147486283420764,0.200177215696652,0.0577861846840458,0.4,0.0833333333333333,limma_dupcor_2grp(mod_t),-0.205157768430371,0.205157768430371,0.477713049194865,0.477713049194865,0.252244053829666,0.202407168599169,0.78128038690741,NS
STPG1,121,0.11255191458481,0.608656325158141,0.241993982976356,0.482679984604681,0.124627436128105,-0.0370836553721634,0.167194213234135,0.0482648120088377,0.6,0.333333333333333,limma_dupcor_2grp(mod_t),0.279077638348519,-0.279077638348519,0.510816867846938,0.510816867846938,-0.311210037450984,0.11255191458481,0.608656325158143,NS
NIPAL3,135,0.0830971610713741,0.565872238606307,0.216547695312893,0.595133021809024,0.153662685482963,-0.108787350653489,0.103898072673173,0.0299927901130699,0.6,0.166666666666667,limma_dupcor_2grp(mod_t),0.325335045966382,-0.325335045966382,0.60413419300081,0.60413419300081,-0.338237770286795,0.0830971610713741,0.565872238606307,NS
LAS1L,59,0.486468171850493,1,-0.152197875288413,0.356668685448788,0.0920914585904566,-0.0327389999415486,0.234030507294719,0.0675587881925955,0.266666666666667,0.333333333333333,limma_dupcor_2grp(mod_t),-0.119458875346864,0.119458875346864,0.426594455571553,0.426594455571553,0.139304897117102,0.486468171850493,1,NS
ENPP4,45,0.0395812124367367,0.407450806351243,-0.695064975292902,0.769170165233575,0.198598882689949,-0.141488084737197,0.334781295042168,0.0966430354061237,0.133333333333333,0.5,limma_dupcor_2grp(mod_t),-0.553576890555705,0.553576890555705,0.838869035425409,0.838869035425409,0.396819091791573,0.0395812124367367,0.407450806351243,NS
SEMA3F,137,0.0213219132347917,0.328386586428991,-0.0156351933684071,0.668274986134748,0.172547859465791,-0.620302942915913,0.453619848997021,0.130948770964094,0.466666666666667,0,limma_dupcor_2grp(mod_t),0.604667749547506,-0.604667749547506,0.807689559482774,0.807689559482774,-0.439276521674529,0.0213219132347917,0.328386586428991,NS
CFTR,154,0.00746292005917711,0.200269351115488,0.34275505618602,0.329452748053158,0.0850643337714766,-0.0015979632317108,0.0916027950725238,0.0264434491968219,0.8,0.25,limma_dupcor_2grp(mod_t),0.344353019417731,-0.344353019417731,0.341950559679139,0.341950559679139,-0.501354773347973,0.00746292005917711,0.200269351115488,NS
ANKIB1,32,0.00271966318863479,0.117315223136225,-0.563974077508009,0.473661670096295,0.122298917334649,0.0253983442697016,0.201423707687936,0.0581460159274013,0.2,0.583333333333333,limma_dupcor_2grp(mod_t),-0.589372421777711,0.589372421777711,0.514710489243387,0.514710489243387,0.551989269399411,0.00271966318863479,0.117315223136225,NS
CYP51A1,64,0.191619708249304,0.764505036160222,-0.329791230298679,0.470057703410979,0.121368377137815,-0.105108497922312,0.343183088182743,0.0990684241718168,0.2,0.5,limma_dupcor_2grp(mod_t),-0.224682732376367,0.224682732376367,0.582004189461423,0.582004189461423,0.25818619344464,0.191619708249304,0.764505036160221,NS
KRIT1,67,0.203774235345965,0.782729473177659,-0.144301480262299,0.340557200405147,0.0879314910400105,0.0383243558324691,0.187138332584926,0.0540221833468022,0.466666666666667,0.583333333333333,limma_dupcor_2grp(mod_t),-0.182625836094768,0.182625836094768,0.388587136007431,0.388587136007431,0.251506660451928,0.203774235345965,0.78272947317766,NS
