"k","cluster","sample_id","item_consensus","stability"
5,1,"delta_DU4475_EPI_R2",0,"Very Low (<50%)"
5,1,"delta_DU4475_EPI_R1",0,"Very Low (<50%)"
5,1,"delta_DU4475_EPI_R3",0,"Very Low (<50%)"
5,1,"delta_HCC1395_EPI_R1",0,"Very Low (<50%)"
5,1,"delta_HCC1395_EPI_R2",0,"Very Low (<50%)"
5,1,"delta_HCC1395_EPI_R3",0,"Very Low (<50%)"
5,1,"delta_HCC1806_EPI_R1",0,"Very Low (<50%)"
5,1,"delta_HCC1806_EPI_R2",0,"Very Low (<50%)"
5,1,"delta_HCC1806_EPI_R3",0,"Very Low (<50%)"
5,1,"delta_MDAMB468_EPI_R1",0,"Very Low (<50%)"
5,1,"delta_MDAMB468_EPI_R2",0,"Very Low (<50%)"
5,1,"delta_MDAMB468_EPI_R3",0,"Very Low (<50%)"
5,1,"delta_BT549_EPI_R2",0.141375842764319,"Very Low (<50%)"
5,1,"delta_BT549_EPI_R1",0.999332443257677,"Very High (>=87.5%)"
5,1,"delta_BT549_EPI_R3",0.999332443257677,"Very High (>=87.5%)"
5,1,"delta_HCC38_EPI_R1",0.145267208890642,"Very Low (<50%)"
5,1,"delta_HCC38_EPI_R2",0.162990672339163,"Very Low (<50%)"
5,1,"delta_HCC38_EPI_R3",0.182547356023625,"Very Low (<50%)"
5,1,"delta_Hs578t_EPI_R1",0.0963460670038611,"Very Low (<50%)"
5,1,"delta_Hs578t_EPI_R2",0,"Very Low (<50%)"
5,1,"delta_Hs578t_EPI_R3",0.141651839253358,"Very Low (<50%)"
5,1,"delta_MDAMB231_EPI_R1",0.0397952443857332,"Very Low (<50%)"
5,1,"delta_MDAMB231_EPI_R2",0.0417227456258412,"Very Low (<50%)"
5,1,"delta_MDAMB231_EPI_R3",0.0431091877496671,"Very Low (<50%)"
5,1,"delta_MDAMB157_EPI_R1",0.0486885245901639,"Very Low (<50%)"
5,1,"delta_MDAMB157_EPI_R2",0.0440188172043011,"Very Low (<50%)"
5,1,"delta_MDAMB157_EPI_R3",0.0434268333896587,"Very Low (<50%)"
