"k","cluster","sample_id","item_consensus","stability"
3,1,"delta_DU4475_EPI_R2",0,"Very Low (<50%)"
3,1,"delta_DU4475_EPI_R1",0,"Very Low (<50%)"
3,1,"delta_DU4475_EPI_R3",0,"Very Low (<50%)"
3,1,"delta_HCC1395_EPI_R1",0,"Very Low (<50%)"
3,1,"delta_HCC1395_EPI_R2",0,"Very Low (<50%)"
3,1,"delta_HCC1395_EPI_R3",0,"Very Low (<50%)"
3,1,"delta_HCC1806_EPI_R1",0,"Very Low (<50%)"
3,1,"delta_HCC1806_EPI_R2",0,"Very Low (<50%)"
3,1,"delta_HCC1806_EPI_R3",0,"Very Low (<50%)"
3,1,"delta_MDAMB468_EPI_R1",0,"Very Low (<50%)"
3,1,"delta_MDAMB468_EPI_R2",0,"Very Low (<50%)"
3,1,"delta_MDAMB468_EPI_R3",0,"Very Low (<50%)"
3,1,"delta_BT549_EPI_R2",0,"Very Low (<50%)"
3,1,"delta_BT549_EPI_R1",1,"Very High (>=87.5%)"
3,1,"delta_BT549_EPI_R3",1,"Very High (>=87.5%)"
3,1,"delta_HCC38_EPI_R1",0,"Very Low (<50%)"
3,1,"delta_HCC38_EPI_R2",0,"Very Low (<50%)"
3,1,"delta_HCC38_EPI_R3",0,"Very Low (<50%)"
3,1,"delta_Hs578t_EPI_R1",0,"Very Low (<50%)"
3,1,"delta_Hs578t_EPI_R2",0,"Very Low (<50%)"
3,1,"delta_Hs578t_EPI_R3",0,"Very Low (<50%)"
3,1,"delta_MDAMB231_EPI_R1",1,"Very High (>=87.5%)"
3,1,"delta_MDAMB231_EPI_R2",1,"Very High (>=87.5%)"
3,1,"delta_MDAMB231_EPI_R3",1,"Very High (>=87.5%)"
3,1,"delta_MDAMB157_EPI_R1",1,"Very High (>=87.5%)"
3,1,"delta_MDAMB157_EPI_R2",1,"Very High (>=87.5%)"
3,1,"delta_MDAMB157_EPI_R3",1,"Very High (>=87.5%)"
3,2,"delta_DU4475_EPI_R2",0,"Very Low (<50%)"
3,2,"delta_DU4475_EPI_R1",0,"Very Low (<50%)"
3,2,"delta_DU4475_EPI_R3",0,"Very Low (<50%)"
3,2,"delta_HCC1395_EPI_R1",0,"Very Low (<50%)"
3,2,"delta_HCC1395_EPI_R2",0,"Very Low (<50%)"
3,2,"delta_HCC1395_EPI_R3",0,"Very Low (<50%)"
3,2,"delta_HCC1806_EPI_R1",0,"Very Low (<50%)"
3,2,"delta_HCC1806_EPI_R2",0,"Very Low (<50%)"
3,2,"delta_HCC1806_EPI_R3",0,"Very Low (<50%)"
3,2,"delta_MDAMB468_EPI_R1",0,"Very Low (<50%)"
3,2,"delta_MDAMB468_EPI_R2",0,"Very Low (<50%)"
3,2,"delta_MDAMB468_EPI_R3",0,"Very Low (<50%)"
3,2,"delta_BT549_EPI_R2",1,"Very High (>=87.5%)"
3,2,"delta_BT549_EPI_R1",0,"Very Low (<50%)"
3,2,"delta_BT549_EPI_R3",0,"Very Low (<50%)"
3,2,"delta_HCC38_EPI_R1",1,"Very High (>=87.5%)"
3,2,"delta_HCC38_EPI_R2",1,"Very High (>=87.5%)"
3,2,"delta_HCC38_EPI_R3",1,"Very High (>=87.5%)"
3,2,"delta_Hs578t_EPI_R1",1,"Very High (>=87.5%)"
3,2,"delta_Hs578t_EPI_R2",1,"Very High (>=87.5%)"
3,2,"delta_Hs578t_EPI_R3",1,"Very High (>=87.5%)"
3,2,"delta_MDAMB231_EPI_R1",0,"Very Low (<50%)"
3,2,"delta_MDAMB231_EPI_R2",0,"Very Low (<50%)"
3,2,"delta_MDAMB231_EPI_R3",0,"Very Low (<50%)"
3,2,"delta_MDAMB157_EPI_R1",0,"Very Low (<50%)"
3,2,"delta_MDAMB157_EPI_R2",0,"Very Low (<50%)"
3,2,"delta_MDAMB157_EPI_R3",0,"Very Low (<50%)"
3,3,"delta_DU4475_EPI_R2",1,"Very High (>=87.5%)"
3,3,"delta_DU4475_EPI_R1",1,"Very High (>=87.5%)"
3,3,"delta_DU4475_EPI_R3",1,"Very High (>=87.5%)"
3,3,"delta_HCC1395_EPI_R1",1,"Very High (>=87.5%)"
3,3,"delta_HCC1395_EPI_R2",1,"Very High (>=87.5%)"
3,3,"delta_HCC1395_EPI_R3",1,"Very High (>=87.5%)"
3,3,"delta_HCC1806_EPI_R1",1,"Very High (>=87.5%)"
3,3,"delta_HCC1806_EPI_R2",1,"Very High (>=87.5%)"
3,3,"delta_HCC1806_EPI_R3",1,"Very High (>=87.5%)"
3,3,"delta_MDAMB468_EPI_R1",1,"Very High (>=87.5%)"
3,3,"delta_MDAMB468_EPI_R2",1,"Very High (>=87.5%)"
3,3,"delta_MDAMB468_EPI_R3",1,"Very High (>=87.5%)"
3,3,"delta_BT549_EPI_R2",0,"Very Low (<50%)"
3,3,"delta_BT549_EPI_R1",0,"Very Low (<50%)"
3,3,"delta_BT549_EPI_R3",0,"Very Low (<50%)"
3,3,"delta_HCC38_EPI_R1",0,"Very Low (<50%)"
3,3,"delta_HCC38_EPI_R2",0,"Very Low (<50%)"
3,3,"delta_HCC38_EPI_R3",0,"Very Low (<50%)"
3,3,"delta_Hs578t_EPI_R1",0,"Very Low (<50%)"
3,3,"delta_Hs578t_EPI_R2",0,"Very Low (<50%)"
3,3,"delta_Hs578t_EPI_R3",0,"Very Low (<50%)"
3,3,"delta_MDAMB231_EPI_R1",0,"Very Low (<50%)"
3,3,"delta_MDAMB231_EPI_R2",0,"Very Low (<50%)"
3,3,"delta_MDAMB231_EPI_R3",0,"Very Low (<50%)"
3,3,"delta_MDAMB157_EPI_R1",0,"Very Low (<50%)"
3,3,"delta_MDAMB157_EPI_R2",0,"Very Low (<50%)"
3,3,"delta_MDAMB157_EPI_R3",0,"Very Low (<50%)"
