"k","cluster","sample_id","item_consensus","stability"
5,1,"delta_DU4475_EPI_R2",0,"Very Low (<50%)"
5,1,"delta_DU4475_EPI_R1",0,"Very Low (<50%)"
5,1,"delta_DU4475_EPI_R3",0,"Very Low (<50%)"
5,1,"delta_HCC1395_EPI_R1",0,"Very Low (<50%)"
5,1,"delta_HCC1395_EPI_R2",0,"Very Low (<50%)"
5,1,"delta_HCC1395_EPI_R3",0,"Very Low (<50%)"
5,1,"delta_HCC1806_EPI_R1",0,"Very Low (<50%)"
5,1,"delta_HCC1806_EPI_R2",0,"Very Low (<50%)"
5,1,"delta_HCC1806_EPI_R3",0,"Very Low (<50%)"
5,1,"delta_MDAMB468_EPI_R1",0,"Very Low (<50%)"
5,1,"delta_MDAMB468_EPI_R2",0,"Very Low (<50%)"
5,1,"delta_MDAMB468_EPI_R3",0,"Very Low (<50%)"
5,1,"delta_BT549_EPI_R2",0.0608868299139643,"Very Low (<50%)"
5,1,"delta_BT549_EPI_R1",1,"Very High (>=87.5%)"
5,1,"delta_BT549_EPI_R3",1,"Very High (>=87.5%)"
5,1,"delta_HCC38_EPI_R1",0.051414309484193,"Very Low (<50%)"
5,1,"delta_HCC38_EPI_R2",0.0641285956006768,"Very Low (<50%)"
5,1,"delta_HCC38_EPI_R3",0.0677705701604643,"Very Low (<50%)"
5,1,"delta_Hs578t_EPI_R1",0.0481727574750831,"Very Low (<50%)"
5,1,"delta_Hs578t_EPI_R2",0,"Very Low (<50%)"
5,1,"delta_Hs578t_EPI_R3",0.0516831009860592,"Very Low (<50%)"
5,1,"delta_MDAMB231_EPI_R1",0.097919911017103,"Very Low (<50%)"
5,1,"delta_MDAMB231_EPI_R2",0.108527137963808,"Very Low (<50%)"
5,1,"delta_MDAMB231_EPI_R3",0.104021890105619,"Very Low (<50%)"
5,1,"delta_MDAMB157_EPI_R1",0.104444347717269,"Very Low (<50%)"
5,1,"delta_MDAMB157_EPI_R2",0.103839281493522,"Very Low (<50%)"
5,1,"delta_MDAMB157_EPI_R3",0.103242970153201,"Very Low (<50%)"
